Contributor,March 2016
intel.com,15305
gmail.com,8853
redhat.com,5726
linux-foundation.org,2492
chromium.org,2100
kernel.org,2025
amd.com,1889
google.com,1854
linaro.org,1424
ibm.com,1298
codeaurora.org,1211
arndb.de,1161
oracle.com,1119
ti.com,1088
nvidia.com,1012
visionengravers.com,1000
suse.de,960
mellanox.com,929
davemloft.net,850
synopsys.com,674
infradead.org,661
zeniv.linux.org.uk,660
arm.com,595
samsung.com,593
huawei.com,593
rock-chips.com,576
osg.samsung.com,571
suse.com,538
linutronix.de,497
vmware.com,496
broadcom.com,473
igalia.com,469
suse.cz,440
hovoldconsulting.com,430
verge.net.au,420
lst.de,416
collabora.com,415
atmel.com,414
canonical.com,395
pengutronix.de,356
linuxhacker.ru,340
tieto.com,332
unisys.com,330
c-s.fr,320
free-electrons.com,319
qti.qualcomm.com,314
nxp.com,308
qca.qualcomm.com,294
lge.com,290
idt.com,280
whitecape.org,271
windriver.com,266
fb.com,261
renesas.com,250
omnibond.com,250
qlogic.com,241
glider.be,241
virtuozzo.com,235
freescale.com,227
hpe.com,226
iogearbox.net,221
kempniu.pl,220
chelsio.com,211
iki.fi,210
ffwll.ch,206
alum.mit.edu,206
mediatek.com,205
ingics.com,200
perches.com,190
socionext.com,187
sang-engineering.com,182
cavium.com,180
st.com,176
linuxfoundation.org,173
mleia.com,170
xilinx.com,166
chris-wilson.co.uk,166
savoirfairelinux.com,162
cmss.chinamobile.com,160
baylibre.com,160
linux-iscsi.org,156
imgtec.com,155
cmpxchg.org,150
roeck-us.net,144
wizery.com,138
goodmis.org,137
free.fr,137
gmx.de,133
opensource.wolfsonmicro.com,131
herbertland.com,130
fedoraproject.org,126
163.com,121
sakamocchi.jp,120
maciej.szmigiero.name,120
lunn.ch,120
ideasonboard.com,120
fromorbit.com,120
cogentembedded.com,120
marvell.com,116
arm.linux.org.uk,116
xs4all.nl,111
vadai.me,111
strlen.de,110
semihalf.com,110
martin.sperl.org,110
openwrt.org,107
freedesktop.org,102
synaptics.com,101
ovn.org,101
microsoft.com,96
mirantis.com,92
ericsson.com,92
w1.fi,90
micron.com,90
karolherbst.de,90
allworx.com,90
opensource.altera.com,81
mit.edu,81
mina86.com,81
seagate.com,80
libc.org,80
ellerman.id.au,80
bues.ch,80
denx.de,74
lixom.net,71
tycoint.com,70
parrot.com,70
atomide.com,70
agner.ch,70
users.sourceforge.net,66
anholt.net,66
HansenPartnership.com,65
mork.no,63
collabora.co.uk,63
cn.fujitsu.com,63
realtek.com,62
nod.at,61
axis.com,61
treewalker.org,60
themaw.net,60
telegraphics.com.au,60
posteo.de,60
netfilter.org,60
metanate.com,60
elettra.eu,60
cumulusnetworks.com,60
ah.jp.nec.com,60
6wind.com,60
riseup.net,59
coreboot.org,56
sonymobile.com,54
hughsie.com,54
ozlabs.ru,53
googlemail.com,51
yasker.org,50
I-love.SAKURA.ne.jp,50
the-dreams.de,45
aleksander.es,45
paulk.fr,43
sntech.de,41
metafoo.de,41
endlessm.com,41
alphalink.fr,41
vanmierlo.com,40
systec-electronic.com,40
microchip.com,40
mev.co.uk,40
lxorguk.ukuu.org.uk,40
jp.fujitsu.com,40
electromag.com.au,40
diasemi.com,40
ddn.com,40
codecoup.pl,40
bjorling.me,40
alien8.de,40
akamai.com,40
lwfinger.net,38
bobcopeland.com,38
raptorengineeringinc.com,37
ispras.ru,37
nuvoton.com,34
techsingularity.net,31
sandisk.com,31
piap.pl,31
mojatatu.com,31
codeblueprint.co.uk,31
citrix.com,31
yandex-team.ru,30
wunner.de,30
users.sourceforge.jp,30
touchtech.ro,30
spreadtrum.com,30
secunet.com,30
rab.in,30
queasysnail.net,30
quantatw.com,30
pmeerw.net,30
ncos.nec.co.jp,30
mvista.com,30
linux.ewheeler.net,30
hp.com,30
hitachi.com,30
felipetonello.com,30
dev.mellanox.co.il,30
cray.com,30
codethink.co.uk,30
bp.renesas.com,30
barix.com,30
baker-net.org.uk,30
konsulko.com,27
das-labor.org,26
mentor.com,25
basnieuwenhuizen.nl,25
alterapraxis.com,25
rasmusvillemoes.dk,23
samba.org,22
osadl.org,22
melfas.com,22
linux-m68k.org,22
vanguardiasur.com.ar,21
rempel-privat.de,21
nokia.com,21
holtmann.org,21
gibson.dropbear.id.au,21
wypas.org,20
uclinux.org,20
stratus.com,20
stgolabs.net,20
ssi.bg,20
sandeen.net,20
sai.msu.ru,20
runbox.com,20
plaes.org,20
philippeloctaux.com,20
opensource.se,20
opengridcomputing.com,20
nitronetworks.nl,20
nextfour.com,20
netronome.com,20
mveas.com,20
lynxeye.de,20
linusson.org,20
lightnvm.io,20
leaflabs.com,20
kpanic.de,20
interlog.com,20
googlers.com,20
foolstep.com,20
fau.de,20
ezchip.com,20
emc.com,20
digikod.net,20
de.bosch.com,20
cooldavid.org,20
codemonkey.org.uk,20
cnexlabs.com,20
buserror.net,20
apm.com,20
animalcreek.com,20
Dell.com,20
C:/Program,20
ite.com.tw,18
gentoo.org,17
cisco.com,17
outlook.com,16
ens-lyon.org,16
virtuousgeek.org,15
paramecium.org,15
csie.org,15
cmu.edu,15
siemens.com,14
gmx.net,14
mm-sol.com,13
decadent.org.uk,13
debian.org,13
thejh.net,12
neratec.com,12
mansr.com,12
altlinux.org,12
tuxdriver.com,11
toradex.com,11
timesys.com,11
simonsouth.com,11
primarydata.com,11
post.com,11
nwl.cc,11
kyup.com,11
kernel.crashing.org,11
i2se.com,11
hauke-m.de,11
gondor.apana.org.au,11
gnu.org,11
canb.auug.org.au,11
axentia.se,11
au1.ibm.com,11
ao2.it,11
altera.com,11
alliedtelesis.co.nz,11
a1ca3aef-8c08-0410-bb20-df032aa958be,11
wernerandy.de,10
vittgam.net,10
visteon.com,10
upv.es,10
unitn.it,10
ubuntu.com,10
trendmicro.com.cn,10
toshiba-tops.co.jp,10
topic.nl,10
szeredi.hu,10
stgolabs,10
solution-space.com,10
sgi.com,10
seibold.net,10
secretsauce.net,10
samfundet.no,10
s5r6.in-berlin.de,10
rowland.harvard.edu,10
raspberrypi.org,10
quobyte.com,10
puiterwijk.org,10
progbits.org,10
poochiereds.net,10
phytec.de,10
openmailbox.org,10
ni.com,10
neuling.org,10
natalenko.name,10
msn.com,10
mjdsystems.ca,10
microsemi.com,10
mess.org,10
mail.usask.ca,10
mail.uni-paderborn.de,10
mail.parknet.co.jp,10
lzu.edu.cn,10
live.at,10
lip6.fr,10
linux.com,10
ldpreload.com,10
laposte.net,10
landley.net,10
lakedaemon.net,10
kryo.se,10
kalray.eu,10
intel..com,10
hisilicon.com,10
gemalto.com,10
freenet.de,10
femto-st.fr,10
fe80.eu,10
eu.citrix.com,10
ens.fr,10
enight.me,10
emindsoft.com.cn,10
eikelenboom.it,10
drexel.edu,10
dev.rtsoft.ru,10
cypress.com,10
codenest.com,10
chello.at,10
cam.ac.uk,10
bwalle.de,10
bull.net,10
brocade.com,10
bmw-carit.de,10
blackhole.kfki.hu,10
bizlinktech.com,10
bacher09.org,10
avagotech.com,10
asmedia.com.tw,10
armitage.org.uk,10
arista.com,10
anu.edu.au,10
anarazel.de,10
analog.com,10
adfin.com,10
SDF.ORG,10
Perennou.com,10
NetBSD.org,10
iccs.gr,9
fr.ibm.com,9
ac.upc.edu,8
vidarholen.net,7
subiron.org,7
wwwdotorg.org,6
tribudubois.net,6
openvz.org,6
marples.name,6
iotwrt.com,6
fairchildsemi.com,6
dettori.io,6
ami.com.tw,6
weilnetz.de,5
ubnt.com,5
nuetzel-hh.de,5
msweet-imac.local,5
lacklustre.net,5
labapart.com,5
korsgaard.com,5
displaylink.com,5
digitalstrom.com,5
codyps.com,5
zamaudio.com,4
twiddle.net,4
openedev.com,4
gdsys.cc,4
embedded.rocks,4
dell.com,4
aj.id.au,4
v3.sk,3
smartplayin.com,3
mobileactivedefense.com,3
meowstars.org,3
lemote.com,3
lauterbach.com,3
computerlinguist.org,3
binghamton.edu,3
xes-inc.com,2
tdiedrich.de,2
taobao.com,2
stressinduktion.org,2
russell.cc,2
nordicsemi.no,2
mielczarek.org,2
jnt.io,2
hrz.tu-chemnitz.de,2
elecsyscorp.com,2
daynix.com,2
asus.com,2
arcor.de,2
android.com,2
zx2c4.com,1
yandex.ru,1
wistron.com,1
wems.co.uk,1
web.de,1
vrt.com.au,1
vijayp.ca,1
vectorindia.org,1
v1ros.org,1
universe-factory.net,1
twibright.com,1
tecnocode.co.uk,1
skynet.be,1
sequanux.org,1
se.atlascopco.com,1
schneidersoft.net,1
schischi.me,1
salilab.org,1
rustcorp.com.au,1
rohde-schwarz.com,1
reactos.org,1
pegatroncorp.com,1
open-mesh.com,1
omicron.at,1
novell.com,1
micile.com,1
m4x.org,1
m.disordat.com,1
live.com,1
leoarnold.de,1
leemhuis.info,1
lechnology.com,1
koconnor.net,1
jcornwall.me,1
itdev.co.uk,1
ieee.org,1
hurleysoftware.com,1
halfarit.cz,1
h3c.com,1
ems-wuensche.com,1
daterainc.com,1
darbyshire-bryant.me.uk,1
comsecuris.com,1
asix.com.tw,1
arrikto.com,1
arguggi.co.uk,1
advantech.com.tw,1
adeneo-embedded.us,1
ZenIV.linux.org.uk,1
Gmail.com,1
2b7e53f0-3cfb-0310-b3e9-8179ed1497e1,1
