Contributor,September 2017
amd.com,7834
intel.com,5815
gmail.com,5701
redhat.com,3347
google.com,3073
linux-foundation.org,2571
chromium.org,1904
kernel.org,1196
mellanox.com,1131
ibm.com,935
canonical.com,872
oracle.com,784
linutronix.de,712
s-opensource.com,707
linaro.org,687
davemloft.net,674
imgtec.com,657
huawei.com,629
free-electrons.com,516
lst.de,451
infradead.org,440
nxp.com,429
arndb.de,422
suse.de,420
fb.com,400
chris-wilson.co.uk,390
arm.com,374
suse.com,354
unisys.com,315
suse.cz,307
mvista.com,306
socionext.com,275
bp.renesas.com,269
users.sourceforge.net,260
stgolabs.net,260
glider.be,249
codeaurora.org,230
st.com,228
rock-chips.com,226
whitecape.org,225
renesas.com,221
samsung.com,208
ti.com,192
collabora.com,191
m3y3r.de,186
gmx.de,182
googlemail.com,171
zeniv.linux.org.uk,170
osg.samsung.com,167
cn.fujitsu.com,164
cavium.com,163
microsoft.com,159
broadcom.com,157
vmware.com,156
pengutronix.de,150
netronome.com,149
strlen.de,147
hughsie.com,141
igalia.com,140
wanadoo.fr,139
cogentembedded.com,135
microchip.com,127
atomide.com,126
sang-engineering.com,125
kaod.org,125
savoirfairelinux.com,122
synopsys.com,118
csie.org,118
linuxfoundation.org,116
nvidia.com,112
wdc.com,110
distanz.ch,109
baylibre.com,107
toshiba.co.jp,105
anholt.net,103
qca.qualcomm.com,101
linux-m68k.org,100
hauke-m.de,100
chelsio.com,100
basnieuwenhuizen.nl,96
itsqueeze.com,94
dell.com,94
quantenna.com,93
rowland.harvard.edu,90
lixom.net,90
zte.com.cn,89
amazon.de,86
aleksander.es,80
ah.jp.nec.com,80
tkos.co.il,79
free.fr,78
dabbelt.com,77
konsulko.com,76
xilinx.com,75
sntech.de,73
mediatek.com,72
marvell.com,72
iogearbox.net,72
primarydata.com,71
gmx.net,70
opengridcomputing.com,65
embeddedor.com,64
tronnes.org,63
roeck-us.net,63
opensource.cirrus.com,63
xs4all.nl,62
wunner.de,62
goodmis.org,62
ozlabs.org,61
cmss.chinamobile.com,61
metafoo.de,59
jp.fujitsu.com,58
collabora.co.uk,56
cisco.com,56
nordicsemi.no,55
rutgers.edu,51
lip6.fr,51
tuxera.com,50
networkplumber.org,50
netfilter.org,50
etezian.org,49
benyossef.com,49
twiddle.net,48
lge.com,47
perches.com,45
ffwll.ch,44
hpe.com,43
techveda.org,42
rwth-aachen.de,42
ite.com.tw,42
aosc.io,42
hisilicon.com,41
debian.org,41
yandex-team.ru,40
caviumnetworks.com,40
aquantia.com,40
alphalink.fr,40
akamai.com,40
aheymans.xyz,40
amarulasolutions.com,39
neuling.org,37
metanate.com,37
apm.com,37
theobroma-systems.com,36
realtek.com,35
gentoo.org,35
solarflare.com,34
quantatw.com,34
lwfinger.net,34
linux-mips.org,34
kernel.crashing.org,32
decadent.org.uk,32
amsat.org,32
nuvoton.com,31
ellerman.id.au,31
themaw.net,30
samba.org,30
kernel.dk,30
kdab.com,30
hotmail.com,30
grimberg.me,30
crashcourse.ca,30
codethink.co.uk,30
c-s.fr,30
boundarydevices.com,30
analog.com,30
visionengravers.com,28
ucw.cz,27
i2se.com,27
virtuozzo.com,26
spreadtrum.com,25
pnwbakers.com,25
ideasonboard.com,25
ac.upc.edu,25
queasysnail.net,23
secunet.com,22
chronox.de,22
aj.id.au,22
xmission.com,21
tobin.cc,21
plaes.org,21
narfation.org,21
jmondi.org,21
altlinux.org,21
zytor.com,20
zx2c4.com,20
ya.ru,20
techsingularity.net,20
sondrel.com,20
quantonium.net,20
ozlabs.ru,20
omnibond.com,20
mess.org,20
linux.com,20
lhchavez.com,20
dev.tdt.de,20
cs.rutgers.edu,20
arista.com,20
aosc.xyz,20
alse-fr.com,20
163.com,20
quanta.corp-partner.google.com,18
posteo.de,18
ilande.co.uk,18
vip.163.com,17
m4x.org,17
cumulusnetworks.com,17
brocade.com,17
zamaudio.com,16
w1.fi,16
siemens.com,16
engestrom.ch,16
codecoup.pl,16
armis.com,16
sony.com,15
pobox.com,15
holtmann.org,15
citrix.com,15
apple.com,15
olimex.com,14
mentor.com,14
maximintegrated.com,14
didichuxing.com,14
das-labor.org,14
cesar.org.br,14
bernat.im,14
v3.sk,13
the-dreams.de,11
ni.com,11
mail.ntua.gr,11
lyle.org,11
endlessm.com,11
daynix.com,11
aepfle.de,11
xiaomi.com,10
wedev4u.fr,10
vandrovec.name,10
trippelsdorf.de,10
toxicpanda.com,10
supersonicimagine.com,10
seanp.xyz,10
sargun.me,10
rjwysocki.net,10
riseup.net,10
qnap.com,10
paul-moore.com,10
o2.pl,10
neverware.com,10
mork.no,10
mobi-wize.com,10
microsemi.com,10
mathworks.com,10
mailbox.org,10
mail.parknet.co.jp,10
lunn.ch,10
lucaceresoli.net,10
lechnology.com,10
ispras.ru,10
ingics.com,10
iguana.be,10
igneoussystems.com,10
htc.com,10
henneke.me,10
hallyn.com,10
googl.com,10
goldelico.com,10
gdn.net,10
frhoelzlwimmer.de,10
emc.com.tw,10
eik.bme.hu,10
docker.com,10
digikod.net,10
dexceldesigns.com,10
denx.de,10
cypress.com,10
blackhole.kfki.hu,10
axis.com,10
amazon.com,10
adfin.com,10
aclima.io,10
ab.jp.nec.com,10
I-love.SAKURA.ne.jp,10
HansenPartnership.com,10
1wt.eu,10
qti.qualcomm.com,9
iki.fi,9
atmel.com,9
andestech.com,9
vidarholen.net,8
verge.net.au,7
uni-koblenz.de,7
uc.cl,7
simonwunderlich.de,7
redpinesignals.com,7
raspberrypi.org,7
radocaj.org,7
phenome.org,7
partner.samsung.com,7
novotny.cz,7
moreofthesa.me.uk,7
mail.ccsf.edu,7
keymile.com,7
hardkernel.com,7
gnu.org,7
gmx.at,7
egil-hjelmeland.no,7
dxuuu.xyz,7
drivescale.com,7
dowhile0.org,7
dk-develop.de,7
de.bosch.com,7
cirrus.com,7
ccbib.org,7
bwidawsk.net,7
asyring.de,7
angband.pl,7
alcatel-sbell.com.cn,7
yahoo.com,6
koconnor.net,6
jlekstrand.net,6
gmx.com,6
fami-braun.de,6
dhcp-40-204.bne.redhat.com,6
compal.com,6
alum.mit.edu,6
adacore.com,6
mit.edu,5
lynxeye.de,5
freedesktop.org,5
codesourcery.com,5
besd.de,5
bartec-pixavi.com,5
au1.ibm.com,5
android-x86.org,5
acer.com,5
phytec.de,4
noos.fr,4
folklore1984.net,4
cs.ucsb.edu,4
corna.info,4
boehmwalder.at,4
profitbricks.com,3
peloton-tech.com,3
herbertland.com,3
hadess.net,3
android.com,3
weidahitech.com,2
vaisala.com,2
toradex.com,2
thejh.net,2
rit.edu,2
proxmox.com,2
hxt-semitech.com,2
felixheld.de,2
coreboot.org,2
ami.corp-partner.google.com,2
amd.corp-partner.google.com,2
adiengineering.com,2
126.com,2
xdel.ru,1
x.team,1
weilnetz.de,1
toganlabs.com,1
tls.msk.ru,1
she-devel.com,1
rafael,1
quicinc.com,1
prue.com,1
pqgruber.com,1
powersoft.it,1
podlesie.net,1
openvz.org,1
oevsv.at,1
nigauri.org,1
nelint.com,1
molgen.mpg.de,1
member.fsf.org,1
matheus.top,1
maciej.szmigiero.name,1
ltec.ch,1
lse.epita.fr,1
larch-networks.com,1
kunz-im-inter.net,1
krasimir,1
kamp.de,1
jwilk.net,1
jsg.id.au,1
informatik.uni-erlangen.de,1
heine.so,1
globaledgesoft.com,1
ge.com,1
fedoraproject.org,1
exati.com.br,1
ettus.com,1
embedded.rocks,1
deic.uab.cat,1
cortland.com,1
cnexlabs.com,1
blackhole.sk,1
bitland.corp-partner.google.com,1
ausil.us,1
arm.linux.org.uk,1
alliedtelesis.co.nz,1
